group,replicate,fastq_1,fastq_2,antibody,control
0217cJUN,1,/rgs01/scratch/users/jchen4/projects/ao_chip_valid/1921634_0217cJUN_S12_L001_R1_001.fastq.gz,/rgs01/scratch/users/jchen4/projects/ao_chip_valid/1921634_0217cJUN_S12_L001_R2_001.fastq.gz,cJUN,IgG
IgG,1,/rgs01/scratch/users/jchen4/projects/ao_chip_valid/1921641_IgG_S27_L002_R1_001.fastq.gz,/rgs01/scratch/users/jchen4/projects/ao_chip_valid/1921641_IgG_S27_L002_R2_001.fastq.gz,,
